"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn6.1536",8,"G-type lectin S-receptor-like serine/threonine-protein kinase [0.815] | S-locus lectin protein kinase family protein [0.090] | receptor kinase 3 [0.033] | receptor kinase 2 [0.026] | receptor-like protein kinase 4 [0.013] | receptor kinase 1 [0.010] | cysteine-rich RLK (RECEPTOR-like protein kinase) 10 [0.003] | Protein kinase superfamily protein [0.003] | Cysteine-rich receptor-like protein kinase 10 [0.002] | lectin protein kinase family protein [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [0.001]","S-locus lectin protein kinase family protein | receptor kinase 1 | receptor kinase 3 | S-domain-1 13 | S-locus protein kinase, putative | protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding | receptor kinase 2 | S-domain-1 29","S_locus_glycop (PF00954) [0.952] | PAN_2 (PF08276) [0.924] | B_lectin (PF01453) [0.909] | Pkinase_Tyr (PF07714) [0.650] | Pkinase (PF00069) [0.296] | DUF3403 (PF11883) [0.283] | DUF3660 (PF12398) [0.024] | GUB_WAK_bind (PF13947) [0.002] | RVT_2 (PF07727) [0.002] | FAD_binding_4 (PF01565) [0.001] | MatE (PF01554) [0.001] | zf-CCHC (PF00098) [0.001] | PPR_2 (PF13041) [0.001] | Retrotrans_gag (PF03732) [0.001] | Lectin_legB (PF00139) [0.001] | PPR (PF01535) [0.001] | PAN_1 (PF00024) [0.001] | Stress-antifung (PF01657) [0.001] | RVP_2 (PF08284) [0.001]","protein kinase activity (GO:0004672) [0.922] | ATP binding (GO:0005524) [0.296] | protein serine/threonine kinase activity (GO:0004674) [0.286] | polysaccharide binding (GO:0030247) [0.002] | nucleic acid binding (GO:0003676) [0.001] | flavin adenine dinucleotide binding (GO:0050660) [0.001] | drug transmembrane transporter activity (GO:0015238) [0.001] | UDP-N-acetylmuramate dehydrogenase activity (GO:0008762) [0.001] | antiporter activity (GO:0015297) [0.001] | carbohydrate binding (GO:0030246) [0.001] | oxidoreductase activity (GO:0016491) [0.001] | zinc ion binding (GO:0008270) [0.001]","recognition of pollen (GO:0048544) [0.952] | protein phosphorylation (GO:0006468) [0.922] | drug transmembrane transport (GO:0006855) [0.001] | oxidation-reduction process (GO:0055114) [0.001] | transmembrane transport (GO:0055085) [0.001]","4"
"Pn6.154",765,"Long-chain-alcohol oxidase FAO1 [0.774] | Long-chain-alcohol oxidase FAO4A [0.179] | Long-chain-alcohol oxidase FAO4B [0.024] | Long-chain-alcohol oxidase FAO3 [0.024]","Long-chain fatty alcohol dehydrogenase family protein | fatty alcohol oxidase 3","GMC_oxred_N (PF00732) [1.000] | GMC_oxred_C (PF05199) [0.988] | FAD_binding_3 (PF01494) [0.012]","flavin adenine dinucleotide binding (GO:0050660) [1.000] | oxidoreductase activity, acting on CH-OH group of donors (GO:0016614) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","6"
"Pn6.1581",3640,"Unkown protein / Representative AHRD below 0.1%","Plant protein of unknown function (DUF863)","DUF863 (PF05904) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn6.1585",4191,"ferric reduction oxidase 7 [0.543] | ferric reduction oxidase 6 [0.457]","ferric reduction oxidase 6 | ferric reduction oxidase 7","FAD_binding_8 (PF08022) [0.971] | Ferric_reduct (PF01794) [0.943] | NAD_binding_6 (PF08030) [0.914]","oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn6.1590",2287,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 [0.460] | 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1 [0.260] | 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4 [0.160] | 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3 [0.100] | 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase homolog 2 [0.020]","RmlC-like cupins superfamily protein | acireductone dioxygenase 1","ARD (PF03079) [1.000] | CCT_2 (PF09425) [0.020] | tify (PF06200) [0.020]","acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn6.1596",2983,"UBX domain-containing protein [1.000]","plant UBX domain-containing protein 3 | serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma | plant UBX domain containing protein 4","SEP (PF08059) [1.000] | UBX (PF00789) [0.930] | UBA_4 (PF14555) [0.419]","protein binding (GO:0005515) [0.930]","NULL / Representative annotation below 0.1%","5"
"Pn6.1599",1693,"Homeobox protein knotted-1-like 2 [0.362] | Homeobox protein knotted-1-like 6 [0.328] | Homeobox protein knotted-1-like 1 [0.224] | Homeobox protein knotted-1-like 12 [0.086]","KNOTTED-like from Arabidopsis thaliana | KNOX/ELK homeobox transcription factor","Homeobox_KN (PF05920) [0.966] | ELK (PF03789) [0.948] | KNOX2 (PF03791) [0.931] | KNOX1 (PF03790) [0.897] | RVT_2 (PF07727) [0.017]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [0.966]","2"
"Pn6.1654",41,"beta glucosidase 11 [0.240] | beta glucosidase 17 [0.182] | beta glucosidase 43 [0.155] | beta glucosidase 40 [0.121] | beta glucosidase 13 [0.078] | beta glucosidase 41 [0.046] | beta glucosidase 15 [0.044] | beta glucosidase 12 [0.029] | beta glucosidase 16 [0.024] | beta glucosidase 32 [0.017] | beta glucosidase 10 [0.015] | beta glucosidase 2 [0.010] | beta glucosidase 28 [0.010] | beta glucosidase 31 [0.005] | beta glucosidase 29 [0.005] | beta glucosidase 9 [0.002] | beta glucosidase 5 [0.002] | Beta-glucosidase 32 [0.002] | beta glucosidase 7 [0.002] | beta glucosidase 14 [0.002] | beta glucosidase 4 [0.002] | beta glucosidase 8 [0.002] | beta glucosidase 27 [0.002]","Glycosyl hydrolase superfamily protein | beta glucosidase 31 | beta glucosidase 28 | beta glucosidase 11 | beta glucosidase 14 | beta glucosidase 4 | beta glucosidase 41 | beta glucosidase 15 | beta glucosidase 29 | beta glucosidase 8 | beta glucosidase 13 | beta glucosidase 16 | beta glucosidase 40 | beta glucosidase 2 | beta glucosidase 9 | beta glucosidase 12 | beta glucosidase 43 | beta glucosidase 5 | beta glucosidase 17 | beta glucosidase 10 | beta glucosidase 32 | beta glucosidase 7 | B-S glucosidase 44","Glyco_hydro_1 (PF00232) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","6"
"Pn6.1659",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","5"
"Pn6.1695",328,"Galactose oxidase/kelch repeat superfamily protein [0.760] | CHD3-type chromatin-remodeling factor PICKLE [0.024] | Rab9 effector protein with kelch motifs [0.016] | chromatin remodeling factor CHD3 (PICKLE) [0.008] | Amidohydrolase family [0.008]","Galactose oxidase/kelch repeat superfamily protein","Kelch_4 (PF13418) [0.560] | Kelch_3 (PF13415) [0.400] | Kelch_5 (PF13854) [0.120] | Kelch_2 (PF07646) [0.096] | Pkinase (PF00069) [0.056] | Kelch_6 (PF13964) [0.048] | Amidohydro_3 (PF07969) [0.040] | Kelch_1 (PF01344) [0.032] | p450 (PF00067) [0.016]","protein binding (GO:0005515) [0.112] | ATP binding (GO:0005524) [0.056] | protein kinase activity (GO:0004672) [0.056] | iron ion binding (GO:0005506) [0.016] | heme binding (GO:0020037) [0.016] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [0.016]","protein phosphorylation (GO:0006468) [0.056] | oxidation-reduction process (GO:0055114) [0.016]","3"
"Pn6.1702",2720,"WD repeat-containing protein 5 [0.911] | Transducin/WD40 repeat-like superfamily protein [0.089]","Transducin/WD40 repeat-like superfamily protein","WD40 (PF00400) [1.000]","protein binding (GO:0005515) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn6.1712",5138,"Splicing factor 3B subunit 5 [0.968] | Protein kinase superfamily protein [0.032]","Splicing factor 3B subunit 5/RDS3 complex subunit 10","SF3b10 (PF07189) [1.000] | Pkinase (PF00069) [0.032]","ATP binding (GO:0005524) [0.032] | protein kinase activity (GO:0004672) [0.032]","protein phosphorylation (GO:0006468) [0.032]","2"
"Pn6.1724",308,"polyubiquitin 10 [0.945] | polyubiquitin 3 [0.055]","ubiquitin 11 | Ubiquitin family protein | polyubiquitin 10 | polyubiquitin 3 | ubiquitin 8 | ubiquitin 4","ubiquitin (PF00240) [1.000] | DENN (PF02141) [0.008]","protein binding (GO:0005515) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn6.177",1433,"Leucine-rich repeat protein kinase family protein [0.516] | Leucine-rich receptor-like protein kinase family protein [0.306] | Protein kinase superfamily protein [0.161] | Receptor-like protein kinase [0.016]","Leucine-rich repeat protein kinase family protein","Pkinase (PF00069) [1.000] | LRRNT_2 (PF08263) [0.919] | LRR_1 (PF00560) [0.500] | LRR_4 (PF12799) [0.242] | LRR_8 (PF13855) [0.210]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000] | protein binding (GO:0005515) [0.500]","protein phosphorylation (GO:0006468) [1.000]","6"
"Pn6.1797",7016,"Homeodomain-like superfamily protein [1.000]","Homeodomain-like superfamily protein","Myb_DNA-binding (PF00249) [1.000] | Myb_CC_LHEQLE (PF14379) [1.000]","chromatin binding (GO:0003682) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn6.1834",61,"K-box region and MADS-box transcription factor family protein [0.220] | MADS-box transcription factor 1 [0.197] | MADS-box transcription factor 3 [0.152] | MADS-box transcription factor 6 [0.110] | MADS-box transcription factor 21 [0.065] | MADS-box transcription factor 29 [0.065] | MADS-box transcription factor 8 [0.045] | MADS-box transcription factor 13 [0.032] | MADS-box transcription factor 58 [0.032] | MADS-box transcription factor 17 [0.023] | MADS-box transcription factor 5 [0.023] | MADS-box transcription factor 7 [0.016] | MADS-box transcription factor 34 [0.010] | Agamous-like MADS-box protein AGL6 [0.006] | MADS-box transcription factor 27 [0.003]","K-box region and MADS-box transcription factor family protein  | AGAMOUS-like 8 | AGAMOUS-like 13 | AGAMOUS-like 6","K-box (PF01486) [0.990] | SRF-TF (PF00319) [0.955] | SHMT (PF00464) [0.003] | TIR (PF01582) [0.003]","sequence-specific DNA binding transcription factor activity (GO:0003700) [0.990] | DNA binding (GO:0003677) [0.955] | protein dimerization activity (GO:0046983) [0.955] | protein binding (GO:0005515) [0.003] | glycine hydroxymethyltransferase activity (GO:0004372) [0.003]","regulation of transcription, DNA-templated (GO:0006355) [0.990] | L-serine metabolic process (GO:0006563) [0.003] | signal transduction (GO:0007165) [0.003] | glycine metabolic process (GO:0006544) [0.003]","1"
"Pn6.1852",58,"Leucine-rich repeat transmembrane protein kinase [1.000]","Leucine-rich repeat transmembrane protein kinase | receptor-like kinase in flowers 1","Malectin (PF11721) [0.935] | Pkinase_Tyr (PF07714) [0.707] | LRR_1 (PF00560) [0.438] | Pkinase (PF00069) [0.265] | LRR_8 (PF13855) [0.250] | LRR_6 (PF13516) [0.114] | LRR_4 (PF12799) [0.037] | LRR_7 (PF13504) [0.009] | RVT_3 (PF13456) [0.003] | RVT_2 (PF07727) [0.003]","protein kinase activity (GO:0004672) [0.948] | protein binding (GO:0005515) [0.438] | ATP binding (GO:0005524) [0.265]","protein phosphorylation (GO:0006468) [0.948]","2"
"Pn6.1885",11888,"Homeodomain-like superfamily protein [0.923]","Unkown protein(s) / No TAIR description(s)","Myb_DNA-binding (PF00249) [0.923]","chromatin binding (GO:0003682) [0.923]","NULL / Representative annotation below 0.1%","2"
"Pn6.1894",1494,"RING/U-box superfamily protein [0.984] | RING/U-box protein with C6HC-type zinc finger [0.016]","zinc finger (C3HC4-type RING finger) family protein | RING/U-box superfamily protein","IBR (PF01485) [0.934] | RVT_3 (PF13456) [0.705] | zf-C3HC4 (PF00097) [0.262] | zf-RING_2 (PF13639) [0.033] | zf-CCCH (PF00642) [0.016]","zinc ion binding (GO:0008270) [0.934] | metal ion binding (GO:0046872) [0.279] | protein binding (GO:0005515) [0.033]","NULL / Representative annotation below 0.1%","2"
"Pn6.1923",4748,"WRKY DNA-binding protein 14 [0.576] | WRKY DNA-binding protein 35 [0.424]","WRKY DNA-binding protein 35 | WRKY DNA-binding protein 14","WRKY (PF03106) [1.000]","sequence-specific DNA binding (GO:0043565) [1.000] | sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn6.1944",5027,"NAC domain containing protein 1 [1.000]","NAC domain containing protein 1 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","NAM (PF02365) [1.000]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","3"
"Pn6.1954",8407,"3-hydroxyisobutyrate dehydrogenase, mitochondrial [1.000]","6-phosphogluconate dehydrogenase family protein","NAD_binding_2 (PF03446) [1.000] | NAD_binding_11 (PF14833) [0.917]","phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616) [1.000]","pentose-phosphate shunt (GO:0006098) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn6.1969",8267,"Photosystem I reaction center subunit psaK, chloroplastic [1.000]","photosystem I subunit K","PSI_PSAK (PF01241) [1.000]","NULL / Representative annotation below 0.1%","photosynthesis (GO:0015979) [1.000]","6"
"Pn6.2002",4017,"U1 small nuclear ribonucleoprotein 70 kDa [1.000]","U1 small nuclear ribonucleoprotein-70K","U1snRNP70_N (PF12220) [0.917] | RRM_1 (PF00076) [0.889]","nucleic acid binding (GO:0003676) [0.889]","NULL / Representative annotation below 0.1%","3"
"Pn6.2006",5779,"GRAS family transcription factor [1.000]","GRAS family transcription factor","GRAS (PF03514) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn6.2029",1757,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.018]","protein dimerization activity (GO:0046983) [0.018]","NULL / Representative annotation below 0.1%","1"
"Pn6.2048",2256,"NAD(P)-binding Rossmann-fold superfamily protein [0.980] | Pentatricopeptide repeat-containing protein [0.020]","NAD(P)-binding Rossmann-fold superfamily protein","NAD_binding_10 (PF13460) [0.260] | Epimerase (PF01370) [0.120] | PPR (PF01535) [0.020]","coenzyme binding (GO:0050662) [0.120] | catalytic activity (GO:0003824) [0.120]","cellular metabolic process (GO:0044237) [0.120]","5"
"Pn6.2069",4017,"U1 small nuclear ribonucleoprotein 70 kDa [1.000]","U1 small nuclear ribonucleoprotein-70K","U1snRNP70_N (PF12220) [0.917] | RRM_1 (PF00076) [0.889]","nucleic acid binding (GO:0003676) [0.889]","NULL / Representative annotation below 0.1%","3"
"Pn6.2091",2379,"GRAS family transcription factor [1.000]","GRAS family transcription factor","GRAS (PF03514) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn6.2149",8224,"30S ribosomal protein S9 [1.000]","ribosomal protein S9","Ribosomal_S9 (PF00380) [1.000]","structural constituent of ribosome (GO:0003735) [1.000]","translation (GO:0006412) [1.000]","4"
"Pn6.2207",381,"xyloglucan endotransglucosylase/hydrolase 5 [0.522] | xyloglucan endotransglucosylase/hydrolase 9 [0.235] | xyloglucan endotransglucosylase/hydrolase 6 [0.174] | xyloglucan endotransglucosylase/hydrolase 7 [0.070]","xyloglucan endotransglucosylase/hydrolase 9 | xyloglucan endotransglucosylase/hydrolase 6 | xyloglucan endotransglucosylase/hydrolase 7 | xyloglucan endotransglucosylase/hydrolase 5","Glyco_hydro_16 (PF00722) [1.000] | XET_C (PF06955) [1.000]","xyloglucan:xyloglucosyl transferase activity (GO:0016762) [1.000] | hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000] | cellular glucan metabolic process (GO:0006073) [1.000]","4"
"Pn6.2215",770,"Sucrose transport protein [1.000]","sucrose-proton symporter 6 | sucrose-proton symporter 8 | sucrose-proton symporter 1 | sucrose transporter 4 | Major facilitator superfamily protein | sucrose-proton symporter 7 | sucrose-proton symporter 9 | sucrose-proton symporter 2","Sugar_tr (PF00083) [0.464] | MFS_2 (PF13347) [0.333] | MFS_1 (PF07690) [0.048]","transmembrane transporter activity (GO:0022857) [0.464]","transmembrane transport (GO:0055085) [0.512]","3"
"Pn6.2218",2048,"MATE efflux family protein [1.000]","MATE efflux family protein","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]","2"
"Pn6.233",8186,"origin recognition complex subunit 3 [1.000]","origin recognition complex subunit 3","ORC3_N (PF07034) [0.880] | LTP_2 (PF14368) [0.040]","DNA binding (GO:0003677) [0.880]","DNA replication (GO:0006260) [0.880]","3"
"Pn6.2348",106,"methyl esterase 1 [0.237] | methyl esterase 10 [0.193] | methyl esterase 17 [0.184] | methyl esterase 3 [0.145] | methyl esterase 4 [0.035] | methyl esterase 7 [0.026] | methyl esterase 9 [0.013] | methyl esterase 5 [0.013] | similar to RCD one 2 [0.013] | methyl esterase 6 [0.009] | methyl esterase 13 [0.009] | methyl esterase 8 [0.009] | methyl esterase 11 [0.009]","methyl esterase 3 | methyl esterase 4 | methyl esterase 6 | methyl esterase 17 | methyl esterase 10 | acetone-cyanohydrin lyase | methyl esterase 1 | methyl esterase 9 | methyl esterase 5 | methyl esterase 7","Abhydrolase_6 (PF12697) [0.873] | LINES_C (PF14695) [0.083] | LINES_N (PF14694) [0.044] | RST (PF12174) [0.018]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.2349",1432,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","DIOX_N (PF14226) [1.000] | 2OG-FeII_Oxy (PF03171) [1.000]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","4"
"Pn6.2373",6298,"Pollen Ole e 1 allergen and extensin family protein [0.964]","Pollen Ole e 1 allergen and extensin family protein","Pollen_Ole_e_I (PF01190) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn6.2374",9849,"Surfeit locus protein 1 [0.955] | Surfeit locus 1 cytochrome c oxidase biogenesis protein [0.045]","Surfeit locus 1 cytochrome c oxidase biogenesis protein","SURF1 (PF02104) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.2380",471,"NAC domain containing protein 2 [0.375] | NAC domain containing protein 103 [0.212] | NAC domain containing protein 82 [0.154] | NAC domain containing protein 53 [0.135] | NAC domain containing protein 52 [0.058] | NAC domain containing protein 50 [0.058]","NAC domain containing protein 52 | NAC domain containing protein 103 | NAC domain containing protein 53 | NAC domain containing protein 50 | NAC domain containing protein 2 | NAC domain containing protein 82","NAM (PF02365) [0.933]","DNA binding (GO:0003677) [0.933]","regulation of transcription, DNA-templated (GO:0006355) [0.933]","2"
"Pn6.2389",10596,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function, DUF647","DUF647 (PF04884) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn6.2401",9942,"Transcriptional regulator STERILE APETALA [1.000]","Transducin/WD40 repeat-like superfamily protein","WD40 (PF00400) [0.333]","protein binding (GO:0005515) [0.333]","NULL / Representative annotation below 0.1%","1"
"Pn6.2426",1259,"cytochrome P450, family 79, subfamily B, polypeptide 2 [0.561] | cytochrome P450, family 79, subfamily B, polypeptide 3 [0.348] | cytochrome P450, family 79, subfamily A, polypeptide 3 pseudogene [0.091]","cytochrome p450 79a2 | cytochrome P450, family 79, subfamily A, polypeptide 3 pseudogene | cytochrome P450, family 79, subfamily B, polypeptide 2 | cytochrome P450, family 79, subfamily B, polypeptide 3","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn6.2443",8563,"Elongation factor G [1.000]","Translation elongation factor EFG/EF2 protein","EFG_C (PF00679) [1.000] | EFG_IV (PF03764) [1.000] | EFG_II (PF14492) [1.000] | GTP_EFTU (PF00009) [1.000] | GTP_EFTU_D2 (PF03144) [0.958]","GTPase activity (GO:0003924) [1.000] | GTP binding (GO:0005525) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn6.2452",8347,"Mitochondrial intermediate peptidase [1.000]","Zincin-like metalloproteases family protein","Peptidase_M3 (PF01432) [0.960]","metalloendopeptidase activity (GO:0004222) [0.960]","proteolysis (GO:0006508) [0.960]","3"
"Pn6.2464",2223,"RNA-binding (RRM/RBD/RNP motifs) family protein [0.843] | RNA-binding protein 24 [0.118] | RNA-binding protein 38 [0.020] | RNA-binding protein 24-B [0.020]","RNA-binding (RRM/RBD/RNP motifs) family protein","RRM_1 (PF00076) [1.000] | LON (PF02190) [0.020]","nucleic acid binding (GO:0003676) [1.000] | ATP-dependent peptidase activity (GO:0004176) [0.020]","proteolysis (GO:0006508) [0.020]","1"
"Pn6.2470",4256,"NAC domain protein 66 [0.629] | NAC domain containing protein 12 [0.371]","NAC domain containing protein 12 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","NAM (PF02365) [1.000]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","1"
"Pn6.2477",1953,"HXXXD-type acyl-transferase family protein [1.000]","HXXXD-type acyl-transferase family protein | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","Transferase (PF02458) [1.000]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000]","NULL / Representative annotation below 0.1%","1"
"Pn6.2539",2212,"AP2/B3 transcription factor family protein [0.922] | AP2/B3-like transcriptional factor family protein [0.078]","AP2/B3-like transcriptional factor family protein","B3 (PF02362) [1.000] | MatK_N (PF01824) [0.020]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn6.2577",4608,"sterol 4-alpha methyl oxidase 1-3 [1.000]","sterol C4-methyl oxidase 1-2 | sterol-4alpha-methyl oxidase 1-1","FA_hydroxylase (PF04116) [1.000]","iron ion binding (GO:0005506) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","fatty acid biosynthetic process (GO:0006633) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","4"
"Pn6.2592",8492,"MATE efflux family protein [1.000]","MATE efflux family protein","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]","2"
"Pn6.260",628,"Protein transport protein SEC23 [0.674] | Sec23/Sec24 protein transport family protein [0.304] | Protein transport protein sec23 [0.011] | Protein transport protein sec23-1 [0.011]","Sec23/Sec24 protein transport family protein","Sec23_BS (PF08033) [0.967] | Sec23_helical (PF04815) [0.957] | Sec23_trunk (PF04811) [0.957] | Gelsolin (PF00626) [0.913] | zf-Sec23_Sec24 (PF04810) [0.880] | DUF568 (PF04526) [0.011] | Cytochrom_B561 (PF03188) [0.011]","zinc ion binding (GO:0008270) [0.880]","intracellular protein transport (GO:0006886) [1.000] | ER to Golgi vesicle-mediated transport (GO:0006888) [1.000]","3"
"Pn6.2605",2165,"Copper amine oxidase family protein [1.000]","Copper amine oxidase family protein","Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843]","quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000]","amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn6.2624",5576,"protein binding [0.933]","protein binding","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn6.2643",1879,"WD-40 repeat family protein / beige-related [0.600] | Beige/BEACH domain ;WD domain, G-beta repeat protein [0.400]","WD-40 repeat family protein / beige-related","Beach (PF02138) [0.582] | PH_BEACH (PF14844) [0.545] | WD40 (PF00400) [0.527] | DUF1088 (PF06469) [0.073] | Laminin_G_3 (PF13385) [0.036]","protein binding (GO:0005515) [0.527]","NULL / Representative annotation below 0.1%","3"
"Pn6.2649",92,"Subtilase family protein [0.748] | subtilase 1.3 [0.104] | subtilase family protein [0.084] | Subtilisin-like serine endopeptidase family protein [0.032] | subtilisin-like serine protease 2 [0.028] | Calcium uptake protein 1, mitochondrial [0.004]","Subtilase family protein | subtilase family protein | subtilase 1.3 | subtilisin-like serine protease 2","Peptidase_S8 (PF00082) [0.996] | Inhibitor_I9 (PF05922) [0.948] | PA (PF02225) [0.940] | EF-hand_1 (PF00036) [0.004] | EF-hand_8 (PF13833) [0.004]","serine-type endopeptidase activity (GO:0004252) [1.000] | identical protein binding (GO:0042802) [0.948] | calcium ion binding (GO:0005509) [0.004]","proteolysis (GO:0006508) [0.996] | negative regulation of catalytic activity (GO:0043086) [0.948]","4"
"Pn6.2668",255,"ROP guanine nucleotide exchange factor 5 [0.667] | Rop guanine nucleotide exchange factor 1 [0.014]","Protein of unknown function (DUF3527) | ROP guanine nucleotide exchange factor 5 | rho guanyl-nucleotide exchange factor 1 | RHO guanyl-nucleotide exchange factor 7","PRONE (PF03759) [0.681] | DUF3527 (PF12043) [0.326]","Rho guanyl-nucleotide exchange factor activity (GO:0005089) [0.681]","NULL / Representative annotation below 0.1%","6"
"Pn6.2678",8237,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF2930)","DUF2930 (PF11152) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn6.2682",2193,"F-box family protein [1.000]","F-box family protein","F-box-like (PF12937) [0.314]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn6.2701",9048,"Signal recognition particle receptor FtsY [1.000]","signal recognition particle receptor protein, chloroplast (FTSY)","SRP54 (PF00448) [1.000] | SRP54_N (PF02881) [0.957]","GTP binding (GO:0005525) [1.000]","SRP-dependent cotranslational protein targeting to membrane (GO:0006614) [1.000]","3"
