"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn44.11",4324,"Eukaryotic aspartyl protease family protein [1.000]","Eukaryotic aspartyl protease family protein","TAXi_C (PF14541) [0.971] | TAXi_N (PF14543) [0.941]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn44.27",7931,"Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic [1.000]","chloroplast stem-loop binding protein of  41 kDa","Epimerase (PF01370) [0.520] | NAD_binding_10 (PF13460) [0.440]","coenzyme binding (GO:0050662) [0.520] | catalytic activity (GO:0003824) [0.520]","cellular metabolic process (GO:0044237) [0.520]","1"
"Pn44.3",2514,"Unkown protein / Representative AHRD below 0.1%","CBS domain-containing protein with a domain of unknown function (DUF21)","DUF21 (PF01595) [1.000] | CBS (PF00571) [0.106]","adenyl nucleotide binding (GO:0030554) [0.106]","NULL / Representative annotation below 0.1%","3"
"Pn44.44",1584,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein | root-specific kinase 1","Pkinase_Tyr (PF07714) [0.967] | Pkinase (PF00069) [0.033]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.033]","protein phosphorylation (GO:0006468) [1.000]","3"
"Pn44.68",12002,"Plant invertase/pectin methylesterase inhibitor superfamily protein [1.000]","Plant invertase/pectin methylesterase inhibitor superfamily protein","PMEI (PF04043) [1.000]","enzyme inhibitor activity (GO:0004857) [1.000] | pectinesterase activity (GO:0030599) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn45.30",694,"Leucine-rich repeat (LRR) family protein [0.437] | Leucine-rich repeat receptor-like protein kinase family protein [0.310] | Leucine-rich receptor-like protein kinase family protein [0.172] | Leucine-rich repeat protein kinase family protein [0.046] | Polygalacturonase inhibitor 1 [0.011] | Polygalacturonase inhibitor [0.011] | Polygalacturonase inhibitor 2 [0.011]","polygalacturonase inhibiting protein 1 | polygalacturonase inhibiting protein 2 | Leucine-rich repeat (LRR) family protein","LRRNT_2 (PF08263) [0.908] | LRR_1 (PF00560) [0.851] | LRR_4 (PF12799) [0.379] | LRR_8 (PF13855) [0.264] | LRR_6 (PF13516) [0.161] | LRR_7 (PF13504) [0.046] | RVT_3 (PF13456) [0.011]","protein binding (GO:0005515) [0.851]","NULL / Representative annotation below 0.1%","3"
"Pn45.43",11072,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [0.882]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn45.8",3725,"E3 ubiquitin-protein ligase UBR1 [0.711] | E3 ubiquitin-protein ligase ubr1 [0.211] | E3 ubiquitin-protein ligase UBR2 [0.053] | proteolysis 6 [0.026]","proteolysis 6","zf-UBR (PF02207) [0.842] | DUF3741 (PF12552) [0.026]","ubiquitin-protein ligase activity (GO:0004842) [0.842] | zinc ion binding (GO:0008270) [0.842]","NULL / Representative annotation below 0.1%","2"
"Pn46.96",573,"Duplicated homeodomain-like superfamily protein [1.000]","Homeodomain-like superfamily protein | RAD-like 6 | RAD-like 1 | RAD-like 4","Myb_DNA-binding (PF00249) [0.812] | Maf (PF02545) [0.010]","chromatin binding (GO:0003682) [0.812]","NULL / Representative annotation below 0.1%","6"
"Pn5.1013",472,"Serine/threonine-protein kinase SAPK2 [0.413] | Serine/threonine-protein kinase SRK2E [0.154] | Serine/threonine-protein kinase SAPK3 [0.154] | Serine/threonine-protein kinase SAPK10 [0.115] | Serine/threonine-protein kinase SRK2I [0.087] | Serine/threonine-protein kinase SAPK8 [0.029] | Serine/threonine-protein kinase SAPK9 [0.019] | Serine/threonine-protein kinase SRK2F [0.019] | Serine/threonine-protein kinase SRK2C [0.010]","Protein kinase superfamily protein | sucrose nonfermenting 1(SNF1)-related protein kinase 2.3 | SNF1-related protein kinase 2.7","Pkinase (PF00069) [1.000] | Ribosomal_S6e (PF01092) [0.010] | DUF1637 (PF07847) [0.010] | zf-RVT (PF13966) [0.010]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000] | cysteamine dioxygenase activity (GO:0047800) [0.010] | structural constituent of ribosome (GO:0003735) [0.010]","protein phosphorylation (GO:0006468) [1.000] | translation (GO:0006412) [0.010] | oxidation-reduction process (GO:0055114) [0.010]","2"
"Pn5.107",3223,"Chlorophyllide a oxygenase, chloroplastic [0.902] | Pheophorbide a oxygenase family protein with Rieske domain [0.098]","Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain","Rieske (PF00355) [0.951] | PaO (PF08417) [0.878]","2 iron, 2 sulfur cluster binding (GO:0051537) [0.951] | oxidoreductase activity (GO:0016491) [0.951] | chlorophyllide a oxygenase [overall] activity (GO:0010277) [0.878]","oxidation-reduction process (GO:0055114) [0.951]","1"
"Pn5.1367",2038,"basic pentacysteine 2 [0.943] | basic pentacysteine 3 [0.057]","basic pentacysteine1 | basic pentacysteine 2 | basic pentacysteine 3","GAGA_bind (PF06217) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn5.1389",362,"PLANT CADMIUM RESISTANCE 2 [0.941] | PLANT CADMIUM RESISTANCE 11 [0.034] | PLANT CADMIUM RESISTANCE 1 [0.008] | Protein PLANT CADMIUM RESISTANCE 4 [0.008] | Protein PLANT CADMIUM RESISTANCE 5 [0.008]","PLAC8 family protein | PLANT CADMIUM RESISTANCE 11 | PLANT CADMIUM RESISTANCE 1 | PLANT CADMIUM RESISTANCE 2","PLAC8 (PF04749) [1.000] | DUF677 (PF05055) [0.008] | RVT_2 (PF07727) [0.008]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn5.1444",155,"cytochrome P450, family 83, subfamily B, polypeptide 1 [0.326] | cytochrome P450, family 71, subfamily B, polypeptide 34 [0.138] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.094] | cytochrome P450, family 71, subfamily B, polypeptide 10 [0.083] | cytochrome P450, family 71, subfamily B, polypeptide 35 [0.077] | cytochrome P450, family 71, subfamily B, polypeptide 36 [0.061] | Cytochrome P450 superfamily protein [0.050] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.022] | cytochrome P450, family 703, subfamily A, polypeptide 2 [0.017] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 9 [0.011] | cytochrome P450, family 71, subfamily A, polypeptide 26 [0.011] | cytochrome P450, family 71 subfamily B, polypeptide 7 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 29 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 14 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 13 [0.006] | cytochrome P450, family 71, subfamily A, polypeptide 22 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 20 [0.006]","cytochrome P450, family 71, subfamily B, polypeptide 10 | cytochrome P450, family 71, subfamily B, polypeptide 26 | cytochrome P450, family 83, subfamily B, polypeptide 1 | cytochrome P450, family 71, subfamily B, polypeptide 37 | cytochrome P450, family 71, subfamily B, polypeptide 35 | cytochrome P450, family 71, subfamily B, polypeptide 9 | cytochrome P450, family 71, subfamily B, polypeptide 23 | cytochrome P450, family 71, subfamily B, polypeptide 2 | cytochrome P450, family 71 subfamily B, polypeptide 7 | cytochrome P450, family 71, subfamily B, polypeptide 29 | cytochrome P450, family 71, subfamily B, polypeptide 36 | cytochrome P450, family 71, subfamily B, polypeptide 28 | cytochrome P450, family 71, subfamily B, polypeptide 34 | Cytochrome P450 superfamily protein","p450 (PF00067) [1.000] | UBN2 (PF14223) [0.006] | RVT_2 (PF07727) [0.006]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn5.1497",3528,"BURP domain-containing protein [1.000]","BURP domain-containing protein","BURP (PF03181) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn5.1576",6906,"Magnesium-chelatase subunit ChlH, chloroplastic [0.926] | Magnesium-chelatase subunit H [0.074]","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)","CobN-Mg_chel (PF02514) [1.000] | DUF3479 (PF11965) [0.889]","magnesium chelatase activity (GO:0016851) [0.889]","biosynthetic process (GO:0009058) [1.000]","1"
"Pn5.1580",155,"cytochrome P450, family 83, subfamily B, polypeptide 1 [0.326] | cytochrome P450, family 71, subfamily B, polypeptide 34 [0.138] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.094] | cytochrome P450, family 71, subfamily B, polypeptide 10 [0.083] | cytochrome P450, family 71, subfamily B, polypeptide 35 [0.077] | cytochrome P450, family 71, subfamily B, polypeptide 36 [0.061] | Cytochrome P450 superfamily protein [0.050] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.022] | cytochrome P450, family 703, subfamily A, polypeptide 2 [0.017] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 9 [0.011] | cytochrome P450, family 71, subfamily A, polypeptide 26 [0.011] | cytochrome P450, family 71 subfamily B, polypeptide 7 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 29 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 14 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 13 [0.006] | cytochrome P450, family 71, subfamily A, polypeptide 22 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 20 [0.006]","cytochrome P450, family 71, subfamily B, polypeptide 10 | cytochrome P450, family 71, subfamily B, polypeptide 26 | cytochrome P450, family 83, subfamily B, polypeptide 1 | cytochrome P450, family 71, subfamily B, polypeptide 37 | cytochrome P450, family 71, subfamily B, polypeptide 35 | cytochrome P450, family 71, subfamily B, polypeptide 9 | cytochrome P450, family 71, subfamily B, polypeptide 23 | cytochrome P450, family 71, subfamily B, polypeptide 2 | cytochrome P450, family 71 subfamily B, polypeptide 7 | cytochrome P450, family 71, subfamily B, polypeptide 29 | cytochrome P450, family 71, subfamily B, polypeptide 36 | cytochrome P450, family 71, subfamily B, polypeptide 28 | cytochrome P450, family 71, subfamily B, polypeptide 34 | Cytochrome P450 superfamily protein","p450 (PF00067) [1.000] | UBN2 (PF14223) [0.006] | RVT_2 (PF07727) [0.006]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn5.1584",155,"cytochrome P450, family 83, subfamily B, polypeptide 1 [0.326] | cytochrome P450, family 71, subfamily B, polypeptide 34 [0.138] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.094] | cytochrome P450, family 71, subfamily B, polypeptide 10 [0.083] | cytochrome P450, family 71, subfamily B, polypeptide 35 [0.077] | cytochrome P450, family 71, subfamily B, polypeptide 36 [0.061] | Cytochrome P450 superfamily protein [0.050] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.022] | cytochrome P450, family 703, subfamily A, polypeptide 2 [0.017] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 9 [0.011] | cytochrome P450, family 71, subfamily A, polypeptide 26 [0.011] | cytochrome P450, family 71 subfamily B, polypeptide 7 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 29 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 14 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 13 [0.006] | cytochrome P450, family 71, subfamily A, polypeptide 22 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 20 [0.006]","cytochrome P450, family 71, subfamily B, polypeptide 10 | cytochrome P450, family 71, subfamily B, polypeptide 26 | cytochrome P450, family 83, subfamily B, polypeptide 1 | cytochrome P450, family 71, subfamily B, polypeptide 37 | cytochrome P450, family 71, subfamily B, polypeptide 35 | cytochrome P450, family 71, subfamily B, polypeptide 9 | cytochrome P450, family 71, subfamily B, polypeptide 23 | cytochrome P450, family 71, subfamily B, polypeptide 2 | cytochrome P450, family 71 subfamily B, polypeptide 7 | cytochrome P450, family 71, subfamily B, polypeptide 29 | cytochrome P450, family 71, subfamily B, polypeptide 36 | cytochrome P450, family 71, subfamily B, polypeptide 28 | cytochrome P450, family 71, subfamily B, polypeptide 34 | Cytochrome P450 superfamily protein","p450 (PF00067) [1.000] | UBN2 (PF14223) [0.006] | RVT_2 (PF07727) [0.006]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn5.1594",10768,"NOD26-like intrinsic protein 7;1 [0.944] | NOD26-like intrinsic protein 4;2 [0.056]","NOD26-like intrinsic protein 7;1","MIP (PF00230) [1.000]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","4"
"Pn5.1653",3528,"BURP domain-containing protein [1.000]","BURP domain-containing protein","BURP (PF03181) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn5.1883",3670,"Pectin lyase-like superfamily protein [1.000]","Pectin lyase-like superfamily protein","Pectinesterase (PF01095) [1.000]","pectinesterase activity (GO:0030599) [1.000]","cell wall modification (GO:0042545) [1.000]","4"
"Pn5.1964",27508,"1,4-alpha-glucan-branching enzyme [1.000]","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn5.2121",1907,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn5.2126",9584,"D6 protein kinase like 2 [0.455] | D6 protein kinase like 1 [0.409] | D6 protein kinase [0.091] | Protein kinase superfamily protein [0.045]","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein","Pkinase (PF00069) [1.000]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000]","protein phosphorylation (GO:0006468) [1.000]","6"
"Pn5.2148",103,"Leucine-rich receptor-like protein kinase family protein [0.696] | Leucine-rich repeat receptor-like protein kinase family protein [0.200] | Pentatricopeptide repeat-containing protein [0.078] | plastid transcriptionally active 3 [0.022] | Pentatricopeptide repeat (PPR) superfamily protein [0.004]","Leucine-rich receptor-like protein kinase family protein | Leucine-rich repeat receptor-like protein kinase family protein | Leucine-rich repeat protein kinase family protein | plastid transcriptionally active 3 | Leucine-rich repeat transmembrane protein kinase family protein","Pkinase (PF00069) [0.848] | LRR_1 (PF00560) [0.835] | LRRNT_2 (PF08263) [0.765] | LRR_8 (PF13855) [0.726] | LRR_6 (PF13516) [0.435] | LRR_4 (PF12799) [0.270] | SAP (PF02037) [0.087] | PPR_3 (PF13812) [0.087] | LRR_7 (PF13504) [0.030] | Pkinase_Tyr (PF07714) [0.022] | MRP-L27 (PF09809) [0.004]","protein kinase activity (GO:0004672) [0.870] | ATP binding (GO:0005524) [0.848] | protein binding (GO:0005515) [0.835] | nucleic acid binding (GO:0003676) [0.087]","protein phosphorylation (GO:0006468) [0.870]","2"
"Pn5.2212",197,"Pectin lyase-like superfamily protein [1.000]","Pectin lyase-like superfamily protein | Pectate lyase family protein","Pec_lyase_C (PF00544) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn5.223",79,"3-ketoacyl-CoA synthase 11 [0.339] | 3-ketoacyl-CoA synthase 6 [0.179] | 3-ketoacyl-CoA synthase 4 [0.157] | 3-ketoacyl-CoA synthase 10 [0.099] | 3-ketoacyl-CoA synthase 1 [0.088] | 3-ketoacyl-CoA synthase 2 [0.069] | 3-ketoacyl-CoA synthase 15 [0.015] | 3-ketoacyl-CoA synthase 18 [0.011] | 3-ketoacyl-CoA synthase 16 [0.007] | 3-ketoacyl-CoA synthase 9 [0.007] | 3-ketoacyl-CoA synthase 5 [0.007] | 3-ketoacyl-CoA synthase 20 [0.007] | 3-ketoacyl-CoA synthase 17 [0.007] | 3-ketoacyl-CoA synthase 8 [0.007]","3-ketoacyl-CoA synthase 4 | 3-ketoacyl-CoA synthase 15 | 3-ketoacyl-CoA synthase 16 | 3-ketoacyl-CoA synthase 10 | 3-ketoacyl-CoA synthase 9 | 3-ketoacyl-CoA synthase 2 | 3-ketoacyl-CoA synthase 11 | 3-ketoacyl-CoA synthase 1 | 3-ketoacyl-CoA synthase 18 | 3-ketoacyl-CoA synthase 17 | 3-ketoacyl-CoA synthase 5 | 3-ketoacyl-CoA synthase 6 | 3-ketoacyl-CoA synthase 20 | 3-ketoacyl-CoA synthase 8","FAE1_CUT1_RppA (PF08392) [1.000] | ACP_syn_III_C (PF08541) [0.960] | Chal_sti_synt_C (PF02797) [0.015] | Ovate (PF04844) [0.004]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000] | transferase activity, transferring acyl groups (GO:0016746) [0.015]","fatty acid biosynthetic process (GO:0006633) [1.000] | lipid biosynthetic process (GO:0008610) [0.960]","2"
"Pn5.226",1201,"RNA-binding KH domain-containing protein [0.985] | Poly(rC)-binding protein 1 [0.015]","RNA-binding KH domain-containing protein","KH_1 (PF00013) [1.000] | KH_3 (PF13014) [0.029] | RVT_1 (PF00078) [0.015]","RNA binding (GO:0003723) [1.000] | RNA-directed DNA polymerase activity (GO:0003964) [0.015]","RNA-dependent DNA replication (GO:0006278) [0.015]","2"
"Pn5.2400",3403,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","RVT_3 (PF13456) [0.025]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn5.2404",6320,"Ankyrin repeat family protein [1.000]","Ankyrin repeat family protein","Ank_2 (PF12796) [1.000] | PGG (PF13962) [1.000] | Ank (PF00023) [0.393] | Ank_5 (PF13857) [0.286] | Ank_3 (PF13606) [0.107] | Ank_4 (PF13637) [0.107]","protein binding (GO:0005515) [0.500]","NULL / Representative annotation below 0.1%","1"
"Pn5.265",303,"homeobox protein 22 [0.430] | homeobox protein 31 [0.250] | homeobox protein 24 [0.133] | homeobox protein 21 [0.125] | homeobox protein 33 [0.062]","homeobox protein 24 | homeobox protein 22 | homeobox protein 31 | homeobox protein 21 | homeobox protein 33","ZF-HD_dimer (PF04770) [0.992]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn5.2814",10360,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]","4"
"Pn5.2843",2552,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF4408 (PF14364) [0.468]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn5.2847",508,"Glucose-1-phosphate adenylyltransferase large subunit 1 [0.940] | Glucose-1-phosphate adenylyltransferase large subunit 2, chloroplastic [0.060]","Glucose-1-phosphate adenylyltransferase family protein | ADP glucose pyrophosphorylase large subunit 1 | ADPGLC-PPase large subunit","NTP_transferase (PF00483) [1.000] | OTCace (PF00185) [0.010] | OTCace_N (PF02729) [0.010]","nucleotidyltransferase activity (GO:0016779) [1.000] | amino acid binding (GO:0016597) [0.010] | carboxyl- or carbamoyltransferase activity (GO:0016743) [0.010]","biosynthetic process (GO:0009058) [1.000] | cellular amino acid metabolic process (GO:0006520) [0.010]","3"
"Pn5.2966",194,"Glucose-methanol-choline (GMC) oxidoreductase family protein [0.586] | SPX domain-containing membrane protein [0.414]","Glucose-methanol-choline (GMC) oxidoreductase family protein | Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","GMC_oxred_C (PF05199) [0.592] | GMC_oxred_N (PF00732) [0.592] | SPX (PF03105) [0.401] | MFS_1 (PF07690) [0.389] | Sugar_tr (PF00083) [0.006]","flavin adenine dinucleotide binding (GO:0050660) [0.592] | oxidoreductase activity, acting on CH-OH group of donors (GO:0016614) [0.592] | transmembrane transporter activity (GO:0022857) [0.006]","oxidation-reduction process (GO:0055114) [0.592] | transmembrane transport (GO:0055085) [0.395]","1"
"Pn5.3310",7162,"ATP-dependent RNA helicase DOB1 [0.852] | DEAD-box ATP-dependent RNA helicase ISE2, chloroplastic [0.111] | Malectin/receptor-like protein kinase family protein [0.037]","DEAD/DEAH box helicase, putative","Helicase_C (PF00271) [0.963] | DSHCT (PF08148) [0.926] | DEAD (PF00270) [0.815] | LRR_1 (PF00560) [0.037] | Pkinase (PF00069) [0.037]","ATP binding (GO:0005524) [1.000] | nucleic acid binding (GO:0003676) [0.963] | helicase activity (GO:0004386) [0.963] | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818) [0.926] | ATP-dependent helicase activity (GO:0008026) [0.815] | protein binding (GO:0005515) [0.037] | protein kinase activity (GO:0004672) [0.037]","protein phosphorylation (GO:0006468) [0.037]","4"
"Pn5.3525",230,"carbonic anhydrase 2 [0.634] | carbonic anhydrase 1 [0.366]","beta carbonic anhydrase 5 | beta carbonic anhydrase 3 | carbonic anhydrase 2 | carbonic anhydrase 1 | beta carbonic anhydrase 4","Pro_CA (PF00484) [1.000]","carbonate dehydratase activity (GO:0004089) [1.000] | zinc ion binding (GO:0008270) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn5.399",11185,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","HEM4 (PF02602) [1.000]","uroporphyrinogen-III synthase activity (GO:0004852) [1.000]","tetrapyrrole biosynthetic process (GO:0033014) [1.000]","2"
"Pn5.400",50,"Disease resistance protein (CC-NBS-LRR class) family [0.900] | NB-ARC domain-containing disease resistance protein [0.062] | Disease resistance protein RPM1 [0.005] | TOPLESS-related 1 [0.005] | TOPLESS-related 2 [0.005] | Leucine-rich repeat-containing protein 7 [0.003] | TOPLESS-related 3 [0.003]","NB-ARC domain-containing disease resistance protein","NB-ARC (PF00931) [0.976] | LRR_4 (PF12799) [0.168] | LRR_8 (PF13855) [0.062] | LRR_1 (PF00560) [0.030] | Jacalin (PF01419) [0.016] | WD40 (PF00400) [0.008] | Chlorophyllase (PF07224) [0.003] | DUF4219 (PF13961) [0.003] | LRR_7 (PF13504) [0.003]","ADP binding (GO:0043531) [0.976] | protein binding (GO:0005515) [0.038] | chlorophyllase activity (GO:0047746) [0.003]","chlorophyll catabolic process (GO:0015996) [0.003]","1"
"Pn5.431",1977,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF581)","DUF581 (PF04570) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn5.685",10954,"DNA cross-link repair 1A protein [0.722] | 5' exonuclease Apollo [0.111] | DNA cross-link repair 1 protein [0.111] | DNA repair metallo-beta-lactamase family protein [0.056]","DNA repair metallo-beta-lactamase family protein","DRMBL (PF07522) [0.944] | Lactamase_B_2 (PF12706) [0.944]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn5.693",10954,"DNA cross-link repair 1A protein [0.722] | 5' exonuclease Apollo [0.111] | DNA cross-link repair 1 protein [0.111] | DNA repair metallo-beta-lactamase family protein [0.056]","DNA repair metallo-beta-lactamase family protein","DRMBL (PF07522) [0.944] | Lactamase_B_2 (PF12706) [0.944]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn50.47",28350,"Lipase/lipooxygenase, PLAT/LH2 family protein [1.000]","Unkown protein(s) / No TAIR description(s)","PLAT (PF01477) [1.000]","protein binding (GO:0005515) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn54.61",2514,"Unkown protein / Representative AHRD below 0.1%","CBS domain-containing protein with a domain of unknown function (DUF21)","DUF21 (PF01595) [1.000] | CBS (PF00571) [0.106]","adenyl nucleotide binding (GO:0030554) [0.106]","NULL / Representative annotation below 0.1%","4"
"Pn55.41",10360,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]","4"
"Pn6.1269",5027,"NAC domain containing protein 1 [1.000]","NAC domain containing protein 1 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","NAM (PF02365) [1.000]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","5"
"Pn6.1753",3122,"Ethylene-responsive transcription factor 4 [0.500] | Ethylene-responsive transcription factor 9 [0.405] | Ethylene-responsive transcription factor 11 [0.071] | Ethylene-responsive transcription factor 12 [0.024]","ERF domain protein 11 | erf domain protein 9","AP2 (PF00847) [1.000]","sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn6.1767",4743,"DNA glycosylase superfamily protein [1.000]","DNA glycosylase superfamily protein","Adenine_glyco (PF03352) [1.000]","DNA-3-methyladenine glycosylase activity (GO:0008725) [1.000]","base-excision repair (GO:0006284) [1.000]","2"
"Pn6.2118",2046,"myb domain protein 73 [0.509] | myb domain protein r1 [0.321] | myb domain protein 70 [0.170]","myb domain protein r1 | myb domain protein 70 | myb domain protein 73","Myb_DNA-bind_6 (PF13921) [0.736] | Myb_DNA-binding (PF00249) [0.264]","chromatin binding (GO:0003682) [0.264]","NULL / Representative annotation below 0.1%","2"
"Pn6.2477",1953,"HXXXD-type acyl-transferase family protein [1.000]","HXXXD-type acyl-transferase family protein | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","Transferase (PF02458) [1.000]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn6.2605",2165,"Copper amine oxidase family protein [1.000]","Copper amine oxidase family protein","Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843]","quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000]","amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","3"
