Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn4.2849,35903,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn4.2863,1806,NADH-ubiquinone oxidoreductase chain 5 ,NADH dehydrogenase subunit 5C ,Oxidored_q1 ,NADH dehydrogenase ,oxidation-reduction process (GO:0055114) [0.696] | ATP synthesis coupled electron transport (GO:0042773) [0.500] | ATP hydrolysis coupled proton transport (GO:0015991) [0.143] | translation (GO:0006412) [0.018],1
Pn4.2880,3329,U-box domain-containing protein 6 ,ARM repeat superfamily protein ,U-box ,ubiquitin-protein ligase activity ,protein ubiquitination (GO:0016567) [1.000],5
Pn4.2950,4930,60S ribosomal protein L38 ,Ribosomal L38e protein family,Ribosomal_L38e ,structural constituent of ribosome ,translation (GO:0006412) [1.000],2
Pn4.2951,1015,Guard cell S-type anion channel SLAC1 ,SLAC1 homologue 3 ,SLAC1 ,NULL / Representative annotation below 0.1%,transmembrane transport (GO:0055085) [1.000],2
Pn4.2957,9021,Transmembrane amino acid transporter family protein ,Transmembrane amino acid transporter family protein,Aa_trans ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn4.2991,7443,Polynucleotide 5'-hydroxyl-kinase grc3 ,Pre-mRNA cleavage complex II protein family,Clp1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn4.3026,7741,GDT1-like protein 3 ,Uncharacterized protein family (UPF0016),UPF0016 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn4.3042,1135,Protein phosphatase 2C family protein ,RING/U-box superfamily protein,PP2C ,catalytic activity ,NULL / Representative annotation below 0.1%,2
Pn4.3044,4609,spermidine synthase 3 ,spermidine synthase 3,Spermine_synth ,catalytic activity ,NULL / Representative annotation below 0.1%,1
Pn4.3093,10674,EPIDERMAL PATTERNING FACTOR-like protein 9 ,stomagen,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn4.3094,1176,dCTP pyrophosphatase 1 ,Unkown protein(s) / No TAIR description(s),MazG ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn4.3097,325,serine carboxypeptidase-like 20 ,SKU5 similar 1 ,Cu-oxidase_2 ,copper ion binding ,oxidation-reduction process (GO:0055114) [0.608] | proteolysis (GO:0006508) [0.400],2
Pn4.3102,1329,Rho GDP-dissociation inhibitor 1 ,Immunoglobulin E-set superfamily protein,Rho_GDI ,Rho GDP-dissociation inhibitor activity ,NULL / Representative annotation below 0.1%,4
Pn4.3140,5606,rRNA-processing protein UTP23 homolog ,PIN domain-like family protein,Fcf1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn4.3150,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn4.3152,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],5
Pn4.3154,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],4
Pn4.3157,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],5
Pn4.3165,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],5
Pn4.3170,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],5
Pn4.3172,5714,Isopentenyl-diphosphate Delta-isomerase II ,isopentenyl diphosphate isomerase 1 ,NUDIX ,hydrolase activity ,NULL / Representative annotation below 0.1%,5
Pn4.3186,341,Oxysterol-binding protein-related protein 1C ,OSBP(oxysterol binding protein)-related protein 2B ,Oxysterol_BP ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn4.3193,3706,Cysteine proteinases superfamily protein ,Cysteine proteinases superfamily protein,Inhibitor_I29 ,cysteine-type peptidase activity ,proteolysis (GO:0006508) [1.000],2
Pn4.3196,3754,early nodulin-like protein 6 ,early nodulin-like protein 5 ,Cu_bind_like ,copper ion binding ,NULL / Representative annotation below 0.1%,2
Pn4.3202,2575,Elongator complex protein 3 ,Radical SAM superfamily protein ,Radical_SAM ,iron-sulfur cluster binding ,RNA-dependent DNA replication (GO:0006278) [0.021],2
Pn4.3208,3998,26S proteasome non-ATPase regulatory subunit 6 ,"26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain",RPN7 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn4.3252,6114,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),zf-U11-48K ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn4.3285,3396,response regulator 18 ,GOLDEN2-like 2 ,Myb_DNA-binding ,chromatin binding ,phosphorelay signal transduction system (GO:0000160) [0.025],6
Pn4.3362,260,O-methyltransferase family protein ,O-methyltransferase family protein,Methyltransf_2 ,O-methyltransferase activity ,NULL / Representative annotation below 0.1%,5
Pn4.3381,129,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.971],4
Pn4.3395,260,O-methyltransferase family protein ,O-methyltransferase family protein,Methyltransf_2 ,O-methyltransferase activity ,NULL / Representative annotation below 0.1%,5
Pn4.3437,129,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.971],4
Pn4.3494,4334,CBL-interacting protein kinase 12 ,CBL-interacting protein kinase 19 ,NAF ,ATP binding ,signal transduction (GO:0007165) [1.000] | protein phosphorylation (GO:0006468) [1.000],4
Pn4.3497,1052,Disease resistance protein (TIR-NBS-LRR class) family ,Protein of unknown function (DUF1637),DUF1637 ,cysteamine dioxygenase activity ,oxidation-reduction process (GO:0055114) [1.000],2
Pn4.3513,8573,BEST Arabidopsis thaliana protein match is: transcription regulators . ,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn4.3521,1551,Ethylene receptor 2 ,"Signal transduction histidine kinase, hybrid-type, ethylene sensor",GAF ,protein binding ,phosphorelay signal transduction system (GO:0000160) [0.917] | signal transduction (GO:0007165) [0.783],2
Pn4.3548,8637,DNA replication licensing factor mcm6 ,minichromosome maintenance (MCM2/3/5) family protein,MCM ,ATP binding ,DNA replication (GO:0006260) [1.000],3
Pn4.358,1167,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,1
Pn4.3581,961,Isocitrate dehydrogenase ,Isocitrate/isopropylmalate dehydrogenase family protein ,Iso_dh ,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ",oxidation-reduction process (GO:0055114) [1.000],2
Pn4.409,4060,Protein kinase superfamily protein ,ABC2 homolog 13,ABC1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn4.439,3388,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),AvrRpt-cleavage ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn4.440,7985,50S ribosomal protein L3 ,Ribosomal protein L3 family protein,Ribosomal_L3 ,structural constituent of ribosome ,translation (GO:0006412) [1.000],3
Pn4.448,1320,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding family protein ,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,2
Pn4.456,10802,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn4.459,1347,40S ribosomal protein S9-2 ,Ribosomal protein S4,S4 ,RNA binding ,NULL / Representative annotation below 0.1%,2
Pn4.46,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn4.502,5399,ATP synthase gamma chain ,"ATPase, F1 complex, gamma subunit protein",ATP-synt ,"proton-transporting ATP synthase activity, rotational mechanism ",ATP synthesis coupled proton transport (GO:0015986) [1.000],4
Pn4.513,540,Trypsin inhibitor ,Kunitz family trypsin and protease inhibitor protein,Kunitz_legume ,endopeptidase inhibitor activity ,NULL / Representative annotation below 0.1%,5
Pn4.514,540,Trypsin inhibitor ,Kunitz family trypsin and protease inhibitor protein,Kunitz_legume ,endopeptidase inhibitor activity ,NULL / Representative annotation below 0.1%,4
Pn4.520,11162,Pentatricopeptide repeat-containing protein ,Unkown protein(s) / No TAIR description(s),PPR ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn4.521,540,Trypsin inhibitor ,Kunitz family trypsin and protease inhibitor protein,Kunitz_legume ,endopeptidase inhibitor activity ,NULL / Representative annotation below 0.1%,2
Pn4.522,540,Trypsin inhibitor ,Kunitz family trypsin and protease inhibitor protein,Kunitz_legume ,endopeptidase inhibitor activity ,NULL / Representative annotation below 0.1%,4
Pn4.55,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],1
Pn4.645,5399,ATP synthase gamma chain ,"ATPase, F1 complex, gamma subunit protein",ATP-synt ,"proton-transporting ATP synthase activity, rotational mechanism ",ATP synthesis coupled proton transport (GO:0015986) [1.000],4
Pn4.660,1735,AMP-dependent synthetase and ligase family protein ,AMP-dependent synthetase and ligase family protein ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000],5
Pn4.676,528,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,5
Pn4.682,2709,Cysteine-rich receptor-like protein kinase 2 ,Unkown protein(s) / No TAIR description(s),Stress-antifung ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],5
Pn4.684,1944,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF3755),DUF3755 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn4.707,2738,AMP-dependent synthetase and ligase family protein ,AMP-dependent synthetase and ligase family protein ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000],2
Pn4.711,1171,Zinc finger protein 267 ,indeterminate(ID)-domain 4 ,zf-C2H2 ,metal ion binding ,NULL / Representative annotation below 0.1%,6
Pn4.715,205,sucrose synthase 4 ,sucrose synthase 6 ,Sucrose_synth ,protein binding ,sucrose metabolic process (GO:0005985) [1.000] | biosynthetic process (GO:0009058) [0.974],5
Pn4.733,1940,BEST Arabidopsis thaliana protein match is: reduced male fertility . ,CCAAT-binding factor ,CBF ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn4.738,3482,Major facilitator superfamily protein ,Major facilitator superfamily protein,Nodulin-like ,NULL / Representative annotation below 0.1%,transmembrane transport (GO:0055085) [0.026],5
Pn4.747,25,ABC transporter family protein ,ABC transporter family protein ,ABC_membrane ,ATP binding ,"transport (GO:0006810) [0.998] | transmembrane transport (GO:0055085) [0.998] | regulation of transcription, DNA-templated (GO:0006355) [0.002]",6
Pn4.776,1980,"Splicing factor, CC1-like ","Splicing factor, CC1-like",RRM_1 ,nucleic acid binding ,translational initiation (GO:0006413) [0.019],3
Pn4.782,9345,Thioredoxin superfamily protein ,chloroplastic drought-induced stress protein of 32 kD,Thioredoxin ,NULL / Representative annotation below 0.1%,cell redox homeostasis (GO:0045454) [1.000],4
Pn4.82,5806,Heavy metal transport/detoxification superfamily protein ,Copper transport protein family,HMA ,metal ion binding ,metal ion transport (GO:0030001) [0.567],5
Pn4.834,944,Divalent ion symporter ,Divalent ion symporter,CitMHS ,NULL / Representative annotation below 0.1%,transmembrane transport (GO:0055085) [1.000],4
Pn4.859,643,Transitional endoplasmic reticulum ATPase ,"ATPase, AAA-type, CDC48 protein ",AAA ,ATP binding ,NULL / Representative annotation below 0.1%,5
Pn4.893,10391,5'-AMP-activated protein kinase-related ,5'-AMP-activated protein kinase-related,UBN2_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn4.894,1075,NOD26-like intrinsic protein 1;2 ,NOD26-like intrinsic protein 1;2 ,MIP ,transporter activity ,transport (GO:0006810) [1.000],3
Pn4.904,49,Malectin/receptor-like protein kinase family protein ,Malectin/receptor-like protein kinase family protein ,Malectin_like ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.982] | metabolic process (GO:0008152) [0.003] | proteolysis (GO:0006508) [0.003] | oxidation-reduction process (GO:0055114) [0.003],2
Pn4.908,7716,Poly ,poly(ADP-ribose) polymerase,WGR ,NAD+ ADP-ribosyltransferase activity ,protein ADP-ribosylation (GO:0006471) [0.962],2
Pn4.911,578,gibberellin 20 oxidase 2 ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [1.000],4
Pn4.912,1786,DNA-directed RNA polymerase V subunit 1 ,nuclear RNA polymerase D1B ,RNA_pol_Rpb1_2 ,DNA-directed RNA polymerase activity ,"transcription, DNA-templated (GO:0006351) [0.821]",3
Pn4.941,706,4-coumarate:CoA ligase 2 ,AMP-dependent synthetase and ligase family protein ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012],3
Pn4.965,1334,"1,4-alpha-glucan-branching enzyme ",starch branching enzyme 2.1 ,Alpha-amylase ,cation binding ,carbohydrate metabolic process (GO:0005975) [1.000],1
Pn4.966,167,"cytochrome P450, family 76, subfamily C, polypeptide 4 ","cytochrome P450, family 76, subfamily C, polypeptide 3 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn4.969,167,"cytochrome P450, family 76, subfamily C, polypeptide 4 ","cytochrome P450, family 76, subfamily C, polypeptide 3 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn4.971,167,"cytochrome P450, family 76, subfamily C, polypeptide 4 ","cytochrome P450, family 76, subfamily C, polypeptide 3 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn4.978,167,"cytochrome P450, family 76, subfamily C, polypeptide 4 ","cytochrome P450, family 76, subfamily C, polypeptide 3 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn4.986,378,receptor-like protein kinase 1 ,receptor-like protein kinase 1,B_lectin ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.922] | recognition of pollen (GO:0048544) [0.191],2
Pn4.999,6401,"Naringenin,2-oxoglutarate 3-dioxygenase ",flavanone 3-hydroxylase,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [1.000],1
Pn40.138,7484,Plastid-lipid associated protein PAP / fibrillin family protein ,Plastid-lipid associated protein PAP / fibrillin family protein,PAP_fibrillin ,structural molecule activity ,NULL / Representative annotation below 0.1%,6
Pn40.172,79,3-ketoacyl-CoA synthase 11 ,3-ketoacyl-CoA synthase 4 ,FAE1_CUT1_RppA ,"transferase activity, transferring acyl groups other than amino-acyl groups ",fatty acid biosynthetic process (GO:0006633) [1.000] | lipid biosynthetic process (GO:0008610) [0.960],2
Pn40.185,9382,DNA polymerase alpha catalytic subunit ,DNA-directed DNA polymerases,DNA_pol_B ,DNA-directed DNA polymerase activity ,DNA replication (GO:0006260) [1.000],3
Pn40.189,1453,ATP-citrate synthase ,ATP-citrate lyase A-3 ,ATP-grasp_2 ,RNA binding ,NULL / Representative annotation below 0.1%,3
Pn40.191,3641,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.921] | proteolysis (GO:0006508) [0.026],3
Pn40.207,6790,50S ribosomal protein L19 ,Ribosomal protein L19 family protein,Ribosomal_L19 ,structural constituent of ribosome ,translation (GO:0006412) [1.000],2
Pn40.49,79,3-ketoacyl-CoA synthase 11 ,3-ketoacyl-CoA synthase 4 ,FAE1_CUT1_RppA ,"transferase activity, transferring acyl groups other than amino-acyl groups ",fatty acid biosynthetic process (GO:0006633) [1.000] | lipid biosynthetic process (GO:0008610) [0.960],4
Pn40.54,588,HXXXD-type acyl-transferase family protein ,HXXXD-type acyl-transferase family protein,Transferase ,"transferase activity, transferring acyl groups other than amino-acyl groups ",translation (GO:0006412) [0.011] | defense response (GO:0006952) [0.011],2
Pn40.67,4517,U-box domain-containing protein 25 ,plant U-box 24,U-box ,ubiquitin-protein ligase activity ,protein ubiquitination (GO:0016567) [1.000],5
Pn40.81,5833,Transitional endoplasmic reticulum ATPase ,cell division cycle 48C,AAA ,ATP binding ,NULL / Representative annotation below 0.1%,3
Pn41.148,65,Protein kinase superfamily protein ,Protein kinase superfamily protein ,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.990],2
Pn41.15,3259,RING/U-box superfamily protein ,RING/U-box superfamily protein,zf-RING_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn41.160,690,Gibberellin-regulated family protein ,Gibberellin-regulated family protein ,GASA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn41.28,5219,myb domain protein 60 ,myb domain protein 60,Myb_DNA-binding ,chromatin binding ,NULL / Representative annotation below 0.1%,6
Pn41.29,5219,myb domain protein 60 ,myb domain protein 60,Myb_DNA-binding ,chromatin binding ,NULL / Representative annotation below 0.1%,6
Pn41.80,5661,vacuolar iron transporter 1 ,vacuolar iron transporter 1,VIT1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn41.91,1045,CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein ,CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein,CBS ,adenyl nucleotide binding ,NULL / Representative annotation below 0.1%,3
Pn42.133,9150,DNA damage-inducible protein 1 ,ubiquitin family protein,ubiquitin ,protein binding ,proteolysis (GO:0006508) [1.000],3
Pn42.140,6,Disease resistance protein (TIR-NBS-LRR class) family ,Disease resistance protein (TIR-NBS-LRR class) family ,NB-ARC ,protein binding ,"signal transduction (GO:0007165) [0.499] | protein phosphorylation (GO:0006468) [0.044] | translational elongation (GO:0006414) [0.005] | regulation of transcription, DNA-templated (GO:0006355) [0.001] | translation (GO:0006412) [0.001] | biosynthetic process (GO:0009058) [0.001] | oxidation-reduction process (GO:0055114) [0.001]",3
Pn42.58,5814,ARM repeat superfamily protein ,ARM repeat superfamily protein,DUF3730 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn42.60,5674,Phototropic-responsive NPH3 family protein ,Phototropic-responsive NPH3 family protein,NPH3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn42.62,8052,SOUL heme-binding family protein ,SOUL heme-binding family protein,SOUL ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn42.94,639,Homeobox-leucine zipper protein family ,homeobox 1,HALZ ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.978]",2
Pn43.100,631,cAMP-regulated phosphoprotein 19-related protein ,cAMP-regulated phosphoprotein 19-related protein,Endosulfine ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn43.127,10373,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),LdpA_C ,iron-sulfur cluster binding ,NULL / Representative annotation below 0.1%,6
Pn43.134,6182,haloacid dehalogenase-like hydrolase family protein ,haloacid dehalogenase-like hydrolase family protein,HAD_2 ,protein binding ,NULL / Representative annotation below 0.1%,6
Pn43.15,11932,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),SAP ,nucleic acid binding ,NULL / Representative annotation below 0.1%,3
Pn43.17,3687,Unkown protein / Representative AHRD below 0.1%,"Protein of unknown function, DUF593",Zein-binding ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn43.18,3428,alpha-N-acetylglucosaminidase family / NAGLU family ,alpha-N-acetylglucosaminidase family / NAGLU family,NAGLU_C ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [0.026],3
Pn43.22,4941,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,4
Pn43.26,4007,Phospholipase A2 family protein ,Phospholipase A2 family protein,Phospholip_A2_1 ,cation transmembrane transporter activity ,cation transport (GO:0006812) [0.028] | transmembrane transport (GO:0055085) [0.028],6
Pn43.29,2751,scarecrow-like 3 ,scarecrow-like 3,GRAS ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn43.32,2631,Ankyrin repeat family protein / BTB/POZ domain-containing protein ,Ankyrin repeat family protein / BTB/POZ domain-containing protein,Ank_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn43.34,8934,Ganglioside-induced differentiation-associated protein 2 ,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein,CRAL_TRIO_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn43.82,26,Disease resistance protein (CC-NBS-LRR class) family ,TOPLESS-related 3 ,NB-ARC ,ADP binding ,signal transduction (GO:0007165) [0.030] | translation (GO:0006412) [0.002] | trehalose biosynthetic process (GO:0005992) [0.002],3
Pn44.11,4324,Eukaryotic aspartyl protease family protein ,Eukaryotic aspartyl protease family protein,TAXi_C ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn44.113,5333,ARM repeat superfamily protein ,ARM repeat superfamily protein,IBN_N ,Ran GTPase binding ,intracellular protein transport (GO:0006886) [0.452],3
Pn44.27,7931,"Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic ",chloroplast stem-loop binding protein of  41 kDa,Epimerase ,coenzyme binding ,cellular metabolic process (GO:0044237) [0.520],6
Pn44.40,9289,Cysteine proteinases superfamily protein ,aleurain-like protease ,Inhibitor_I29 ,cysteine-type peptidase activity ,proteolysis (GO:0006508) [1.000],2
Pn44.51,40,Linoleate 9S-lipoxygenase 6 ,PLAT/LH2 domain-containing lipoxygenase family protein ,Lipoxygenase ,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen ",oxidation-reduction process (GO:0055114) [0.857] | urea metabolic process (GO:0019627) [0.065] | DNA replication (GO:0006260) [0.058] | urea catabolic process (GO:0043419) [0.058] | fatty acid biosynthetic process (GO:0006633) [0.002] | proteolysis (GO:0006508) [0.002] | DNA integration (GO:0015074) [0.002] | RNA-dependent DNA replication (GO:0006278) [0.002] | biosynthetic process (GO:0009058) [0.002],5
Pn44.68,12002,Plant invertase/pectin methylesterase inhibitor superfamily protein ,Plant invertase/pectin methylesterase inhibitor superfamily protein,PMEI ,enzyme inhibitor activity ,NULL / Representative annotation below 0.1%,1
Pn44.75,125,respiratory burst oxidase protein F ,Riboflavin synthase-like superfamily protein ,Ferric_reduct ,oxidoreductase activity ,oxidation-reduction process (GO:0055114) [1.000] | protein metabolic process (GO:0019538) [0.005],1
Pn44.76,125,respiratory burst oxidase protein F ,Riboflavin synthase-like superfamily protein ,Ferric_reduct ,oxidoreductase activity ,oxidation-reduction process (GO:0055114) [1.000] | protein metabolic process (GO:0019538) [0.005],1
Pn45.1,11114,"cytochrome P450, family 707, subfamily A, polypeptide 2 ","cytochrome P450, family 707, subfamily A, polypeptide 2",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],6
Pn45.10,6815,4'-phosphopantetheinyl transferase superfamily ,4'-phosphopantetheinyl transferase superfamily,ACPS ,magnesium ion binding ,macromolecule biosynthetic process (GO:0009059) [0.889],5
Pn45.12,1982,Fasciclin-like arabinogalactan family protein ,Fasciclin-like arabinogalactan family protein ,Fasciclin ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn45.43,11072,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn45.63,1729,GDSL esterase/lipase ,GDSL-like Lipase/Acylhydrolase superfamily protein,Lipase_GDSL ,"hydrolase activity, acting on ester bonds ",lipid metabolic process (GO:0006629) [1.000],4
Pn45.66,4771,sphere organelles protein-related ,sphere organelles protein-related,Ribosomal_S21 ,structural constituent of ribosome ,translation (GO:0006412) [0.030],3
Pn45.71,815,Alpha-mannosidase 2 ,Glycosyl hydrolase family 38 protein,Glyco_hydro_38C ,mannosidase activity ,mannose metabolic process (GO:0006013) [0.963] | carbohydrate metabolic process (GO:0005975) [0.926] | cell wall modification (GO:0042545) [0.012],3
Pn45.91,2805,"Acetolactate synthase 1, chloroplastic ",chlorsulfuron/imidazolinone resistant 1,TPP_enzyme_M ,thiamine pyrophosphate binding ,NULL / Representative annotation below 0.1%,2
Pn46.3,1373,ammonium transporter 2 ,ammonium transporter 2,Ammonium_transp ,ammonium transmembrane transporter activity ,ammonium transport (GO:0015696) [1.000],4
Pn46.36,7205,mRNA 3'-end-processing protein rna14 ,Tetratricopeptide repeat (TPR)-like superfamily protein,Suf ,NULL / Representative annotation below 0.1%,mRNA processing (GO:0006397) [0.852],3
Pn46.4,1113,Long-chain-fatty-acid--CoA ligase 3 ,long chain acyl-CoA synthetase 9 ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000],3
Pn46.42,2280,Ethylene insensitive 3 family protein ,Ethylene insensitive 3 family protein ,EIN3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn46.43,2280,Ethylene insensitive 3 family protein ,Ethylene insensitive 3 family protein ,EIN3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn46.76,4766,Peroxisomal membrane protein 13 ,peroxin 13,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn46.88,6036,"Ferredoxin-thioredoxin reductase, variable chain ",ferredoxin/thioredoxin reductase subunit A (variable subunit) 1 ,FeThRed_A ,NULL / Representative annotation below 0.1%,photosynthesis (GO:0015979) [1.000],4
